"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Chile"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.03","0.02","0.01","0.01","0.01"
"China"," Data source"," All types","4.88","4.27","3.89","3.28","2.92","2.96","2.89","2.88","2.81","3.01"
"China"," Data source"," Beer","1.59","1.55","1.43","1.34","1.18","1.09","0.99","0.96","0.92","0.92"
"China"," Data source"," Wine","0.10","0.08","0.08","0.06","0.05","0.14","0.14","0.14","0.14","0.13"
"China"," Data source"," Spirits","3.19","2.64","2.37","1.88","1.69","1.73","1.75","1.78","1.75","1.96"
"China"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Colombia"," Data source"," All types","4.24","4.35","4.54","4.43","4.27","4.13","4.14","4.32","4.31","4.52"
"Colombia"," Data source"," Beer","2.88","2.99","3.10","2.95","2.76","2.58","2.58","2.65","2.52","2.80"
"Colombia"," Data source"," Wine","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.02"
"Colombia"," Data source"," Spirits","1.29","1.29","1.37","1.41","1.43","1.50","1.50","1.60","1.71","1.65"
"Colombia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.04","0.04","0.04"
"Comoros"," Data source"," All types","0.18","0.12","0.15","0.24","0.24","0.27","0.26","0.13","0.10","0.08"
"Comoros"," Data source"," Beer","0.04","0.04","0.05","0.13","0.15","0.13","0.11","0.02","0.02","0.02"
"Comoros"," Data source"," Wine","0.04","0.02","0.03","0.02","0.03","0.06","0.05","0.07","0.04","0.03"
"Comoros"," Data source"," Spirits","0.10","0.06","0.07","0.09","0.06","0.08","0.10","0.04","0.04","0.03"
"Comoros"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Congo"," Data source"," All types","3.45","3.23","2.91","2.68","2.28","2.03","2.26","2.33","2.05","2.05"
"Congo"," Data source"," Beer","2.85","2.58","2.43","2.09","1.71","1.60","1.62","1.66","1.40","1.42"
"Congo"," Data source"," Wine","0.23","0.25","0.18","0.23","0.18","0.17","0.15","0.16","0.21","0.22"
"Congo"," Data source"," Spirits","0.36","0.40","0.29","0.36","0.38","0.25","0.49","0.50","0.44","0.41"
"Congo"," Data source"," Other alcoholic beverages","0.02","0.01","0.01","0.01","0.00","0.01","0.00","0.00","0","0"
"Costa Rica"," Data source"," All types","4.14","4.29","4.25","4.19","4.11","4.08","4.05","4.16","4.25","4.24"
"Costa Rica"," Data source"," Beer","2.47","2.50","2.44","2.35","2.30","2.24","2.25","2.23","2.24","2.25"
"Costa Rica"," Data source"," Wine","0.18","0.20","0.19","0.17","0.15","0.13","0.13","0.12","0.11","0.11"
"Costa Rica"," Data source"," Spirits","1.45","1.55","1.58","1.64","1.63","1.70","1.67","1.81","1.90","1.87"
"Costa Rica"," Data source"," Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0.00","0.00","0.00","0.00","0.00"
"Côte d'Ivoire"," Data source"," All types","0.99","0.97","0.91","0.81","0.85","0.85","4.65","4.56","4.67","4.65"
"Côte d'Ivoire"," Data source"," Beer","0.61","0.64","0.66","0.61","0.65","0.62","0.62","0.51","0.53","0.56"
"Côte d'Ivoire"," Data source"," Wine","0.29","0.26","0.19","0.16","0.16","0.19","0.34","0.35","0.31","0.27"
"Côte d'Ivoire"," Data source"," Spirits","0.06","0.06","0.05","0.02","0.02","0.02","0.04","0.04","0.04","0.04"
"Côte d'Ivoire"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","3.64","3.65","3.79","3.78"
"Croatia"," Data source"," All types","11.11","11.36","11.36","10.98","10.72","12.42","12.99","13.88","13.69","13.24"
"Croatia"," Data source"," Beer","4.74","5.02","5.12","4.98","4.85","4.94","5.14","5.04","5.26","5.15"
"Croatia"," Data source"," Wine","4.75","4.71","4.62","4.37","4.25","5.36","5.71","6.68","6.23","5.93"
"Croatia"," Data source"," Spirits","1.23","1.24","1.24","1.27","1.27","1.77","1.79","1.81","1.84","1.81"
"Croatia"," Data source"," Other alcoholic beverages","0.39","0.39","0.38","0.36","0.35","0.35","0.35","0.35","0.35","0.35"
"Cuba"," Data source"," All types","3.97","4.25","4.12","4.17","4.48","4.36","4.39","4.10","4.05","3.93"
"Cuba"," Data source"," Beer","1.58","1.65","1.60","1.56","1.48","1.52","1.51","1.31","1.31","1.33"
"Cuba"," Data source"," Wine","0.05","0.06","0.07","0.05","0.05","0.05","0.04","0.04","0.04","0.04"
"Cuba"," Data source"," Spirits","2.32","2.52","2.43","2.52","2.92","2.80","2.84","2.75","2.70","2.56"
"Cuba"," Data source"," Other alcoholic beverages","0.02","0.02","0.03","0.03","0.02","0.00","0.00","0.00","0.00","0.00"
"Cyprus"," Data source"," All types","10.81","12.03","11.58","11.48","11.41","13.03","10.62","11.68","10.16","9.56"
"Cyprus"," Data source"," Beer","3.69","3.90","3.71","3.58","3.62","3.60","3.56","3.50","3.71","3.69"
"Cyprus"," Data source"," Wine","2.60","2.97","2.92","2.92","2.79","2.64","2.50","2.70","2.47","2.52"
"Cyprus"," Data source"," Spirits","4.53","5.17","4.95","4.97","5.00","6.79","4.55","5.47","3.97","3.35"
"Cyprus"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Czechia"," Data source"," All types","13.43","13.65","13.83","13.58","13.66","13.42","13.87","13.77","13.64","13.90"
"Czechia"," Data source"," Beer","7.01","7.29","7.42","7.43","7.65","7.53","7.61","7.55","7.44","7.63"
"Czechia"," Data source"," Wine","2.61","2.58","2.59","2.41","2.36","2.32","2.30","2.30","2.31","2.31"
"Czechia"," Data source"," Spirits","3.81","3.77","3.82","3.74","3.65","3.57","3.95","3.92","3.89","3.96"
