"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Belize"," Data source"," Spirits","1.25","1.42","1.59","1.65","1.69","1.68","1.72","1.71","1.75"
"Belize"," Data source"," Other alcoholic beverages","0.14","0.13","0.15","0.14","0.14","0.15","0.16","0.14","0.15"
"Benin"," Data source"," All types","1.37","1.37","1.46","1.56","1.59","1.44","1.48","1.50","1.42"
"Benin"," Data source"," Beer","0.87","0.87","0.95","1.03","1.04","0.92","0.99","0.82","0.70"
"Benin"," Data source"," Wine","0.06","0.06","0.08","0.09","0.11","0.09","0.13","0.22","0.25"
"Benin"," Data source"," Spirits","0.21","0.21","0.21","0.21","0.21","0.21","0.15","0.16","0.17"
"Benin"," Data source"," Other alcoholic beverages","0.22","0.22","0.22","0.22","0.22","0.22","0.21","0.29","0.30"
"Bhutan"," Data source"," All types","0.06","0.06","0.02","0.04","0.19","0.28","0.30","0.23","0.22"
"Bhutan"," Data source"," Beer","0.01","0.01","0.01","0.04","0.04","0.23","0.17","0.15","0.11"
"Bhutan"," Data source"," Wine","0.05","0.05","0.00","0.00","0.00","0.00","0.01","0.01","0.01"
"Bhutan"," Data source"," Spirits","0","0","0","0","0.15","0.05","0.12","0.07","0.10"
"Bhutan"," Data source"," Other alcoholic beverages","0","0","0","0.00","0.00","0","0","0","0"
"Bolivia (Plurinational State of)"," Data source"," All types","3.34","3.34","3.41","3.44","3.48","3.53","3.58","3.64","3.71"
"Bolivia (Plurinational State of)"," Data source"," Beer","2.54","2.54","2.60","2.65","2.70","2.69","2.77","2.85","2.97"
"Bolivia (Plurinational State of)"," Data source"," Wine","0.14","0.14","0.16","0.13","0.13","0.16","0.14","0.16","0.16"
"Bolivia (Plurinational State of)"," Data source"," Spirits","0.58","0.58","0.58","0.60","0.59","0.63","0.62","0.60","0.57"
"Bolivia (Plurinational State of)"," Data source"," Other alcoholic beverages","0.08","0.08","0.07","0.07","0.05","0.05","0.04","0.04","0.02"
"Bosnia and Herzegovina"," Data source"," All types","4.99","4.97","4.81","4.73","4.64","4.59","4.76","4.67","4.55"
"Bosnia and Herzegovina"," Data source"," Beer","3.81","3.81","3.68","3.58","3.41","3.45","3.63","3.52","3.37"
"Bosnia and Herzegovina"," Data source"," Wine","0.44","0.44","0.43","0.46","0.47","0.46","0.42","0.42","0.44"
"Bosnia and Herzegovina"," Data source"," Spirits","0.57","0.56","0.55","0.54","0.62","0.54","0.57","0.60","0.60"
"Bosnia and Herzegovina"," Data source"," Other alcoholic beverages","0.17","0.16","0.16","0.15","0.15","0.14","0.14","0.13","0.13"
"Botswana"," Data source"," All types","4.81","4.80","5.14","5.12","4.97","4.81","5.22","6.10","5.69"
"Botswana"," Data source"," Beer","2.63","2.63","3.06","3.05","2.90","2.60","2.25","2.27","2.37"
"Botswana"," Data source"," Wine","0.38","0.37","0.28","0.26","0.27","0.42","0.43","0.56","0.72"
"Botswana"," Data source"," Spirits","0.28","0.28","0.28","0.28","0.28","0.28","0.57","1.50","0.64"
"Botswana"," Data source"," Other alcoholic beverages","1.52","1.52","1.52","1.52","1.52","1.52","1.98","1.77","1.96"
"Brazil"," Data source"," All types","6.19","6.24","6.33","6.59","6.88","6.82","7.08","7.11","7.12"
"Brazil"," Data source"," Beer","3.84","3.84","3.91","4.08","4.25","4.07","4.28","4.19","4.18"
"Brazil"," Data source"," Wine","0.26","0.26","0.23","0.24","0.26","0.27","0.25","0.30","0.30"
"Brazil"," Data source"," Spirits","2.06","2.11","2.16","2.25","2.34","2.44","2.52","2.59","2.62"
"Brazil"," Data source"," Other alcoholic beverages","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Brunei Darussalam"," Data source"," All types","0.66","0.66","0.66","0.67","0.67","0.69","0.67","0.92","0.88"
"Brunei Darussalam"," Data source"," Beer","0.65","0.65","0.65","0.65","0.65","0.65","0.67","0.87","0.84"
"Brunei Darussalam"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.03","0.00","0.00","0.00"
"Brunei Darussalam"," Data source"," Spirits","0","0","0","0","0","0","0","0.05","0.03"
"Brunei Darussalam"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Bulgaria"," Data source"," All types","11.42","11.28","11.48","11.24","10.65","10.67","11.23","10.22","10.16"
"Bulgaria"," Data source"," Beer","4.32","4.32","4.37","4.22","4.04","4.24","4.28","4.08","4.00"
"Bulgaria"," Data source"," Wine","1.73","1.73","2.02","1.96","1.80","1.52","1.93","0.95","1.12"
"Bulgaria"," Data source"," Spirits","5.20","5.07","4.95","4.97","4.74","4.85","4.96","5.15","5.00"
"Bulgaria"," Data source"," Other alcoholic beverages","0.16","0.16","0.14","0.10","0.08","0.06","0.05","0.04","0.05"
"Burkina Faso"," Data source"," All types","7.20","7.20","7.11","7.12","7.04","5.56","5.69","5.43","5.51"
"Burkina Faso"," Data source"," Beer","1.00","1.00","0.91","0.88","0.85","0.67","0.63","0.53","0.46"
"Burkina Faso"," Data source"," Wine","0.09","0.09","0.09","0.13","0.14","0.10","0.18","0.17","0.12"
"Burkina Faso"," Data source"," Spirits","0.23","0.23","0.23","0.23","0.27","0.24","0.20","0.13","0.12"
"Burkina Faso"," Data source"," Other alcoholic beverages","5.88","5.88","5.88","5.88","5.78","4.55","4.67","4.60","4.80"
"Burundi"," Data source"," All types","4.00","4.00","3.89","3.92","3.86","3.88","4.22","4.45","4.48"
"Burundi"," Data source"," Beer","1.81","1.81","1.69","1.73","1.66","1.69","1.62","1.58","1.58"
"Burundi"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Burundi"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00"
"Burundi"," Data source"," Other alcoholic beverages","2.18","2.18","2.18","2.18","2.18","2.18","2.59","2.85","2.89"
"Cabo Verde"," Data source"," All types","4.13","4.13","4.11","4.39","4.17","3.82","5.05","5.14","4.81"
"Cabo Verde"," Data source"," Beer","2.27","2.27","2.27","2.27","2.27","2.27","2.32","2.82","2.52"
"Cabo Verde"," Data source"," Wine","1.57","1.57","1.56","1.84","1.62","1.26","1.58","1.61","1.68"
"Cabo Verde"," Data source"," Spirits","0.28","0.28","0.28","0.28","0.28","0.28","1.16","0.70","0.61"
"Cabo Verde"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Cambodia"," Data source"," All types","3.70","3.70","3.50","3.34","3.06","2.80","2.52","2.40","2.16"
"Cambodia"," Data source"," Beer","3.29","3.29","3.10","2.93","2.64","2.38","2.09","1.99","1.75"
"Cambodia"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01"
"Cambodia"," Data source"," Spirits","0.39","0.38","0.38","0.40","0.40","0.41","0.41","0.40","0.39"
"Cambodia"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cameroon"," Data source"," All types","4.19","4.19","4.15","4.59","4.77","6.66","6.52","5.98","5.96"
"Cameroon"," Data source"," Beer","2.47","2.47","2.49","2.90","3.08","3.07","2.89","2.58","2.62"
"Cameroon"," Data source"," Wine","0.12","0.12","0.06","0.09","0.12","0.11","0.12","0.11","0.09"
"Cameroon"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0","0.03","0","0"
"Cameroon"," Data source"," Other alcoholic beverages","1.59","1.59","1.59","1.59","1.56","3.48","3.48","3.29","3.26"
"Canada"," Data source"," All types","8.20","8.20","8.10","8.00","8.00","8.20","8.30","8.20","8.30"
"Canada"," Data source"," Beer","3.60","3.60","3.70","3.70","3.80","3.90","4.00","4.00","4.20"
"Canada"," Data source"," Wine","2.20","2.10","2.10","2.00","2.00","2.00","2.00","1.90","1.90"
"Canada"," Data source"," Spirits","2.10","2.10","2.10","2.00","2.00","2.10","2.10","2.10","2.10"
