country,year,gender,percentage
Slovenia,2014,All,39
Slovenia,2014,Male,44
Slovenia,2014,Female,35
Slovenia,2010,All,45
Slovenia,2010,Male,51
Slovenia,2010,Female,39
Slovenia,2006,All,41
Slovenia,2006,Male,48
Slovenia,2006,Female,34
Slovenia,2005,All,41
Slovenia,2005,Male,48
Slovenia,2005,Female,34
Spain,2014,All,26
Spain,2014,Male,25
Spain,2014,Female,27
Spain,2010,All,42
Spain,2010,Male,41
Spain,2010,Female,43
Spain,2006,All,34
Spain,2006,Male,32
Spain,2006,Female,36
Spain,2005,All,34
Spain,2005,Male,32
Spain,2005,Female,36
Sweden,2014,All,14
Sweden,2014,Male,15
Sweden,2014,Female,13
Sweden,2010,All,23
Sweden,2010,Male,22
Sweden,2010,Female,25
Sweden,2006,All,24
Sweden,2006,Male,26
Sweden,2006,Female,23
Sweden,2005,All,24
Sweden,2005,Male,26
Sweden,2005,Female,23
Switzerland,2014,All,26
Switzerland,2014,Male,29
Switzerland,2014,Female,22
Switzerland,2010,All,37
Switzerland,2010,Male,40
Switzerland,2010,Female,33
Switzerland,2006,All,45
Switzerland,2006,Male,51
Switzerland,2006,Female,39
Switzerland,2005,All,45
Switzerland,2005,Male,51
Switzerland,2005,Female,39
Ukraine,2014,All,31
Ukraine,2014,Male,36
Ukraine,2014,Female,26
Ukraine,2010,All,31
Ukraine,2010,Male,33
Ukraine,2010,Female,29
Ukraine,2006,All,42
Ukraine,2006,Male,48
Ukraine,2006,Female,36
Ukraine,2005,All,42
Ukraine,2005,Male,48
Ukraine,2005,Female,36
United Kingdom of Great Britain and Northern Ireland,2014,All,27
United Kingdom of Great Britain and Northern Ireland,2014,Male,28
United Kingdom of Great Britain and Northern Ireland,2014,Female,26
United Kingdom of Great Britain and Northern Ireland,2010,All,43
United Kingdom of Great Britain and Northern Ireland,2010,Male,44
United Kingdom of Great Britain and Northern Ireland,2010,Female,42
United Kingdom of Great Britain and Northern Ireland,2006,All,47.3
United Kingdom of Great Britain and Northern Ireland,2006,Male,49
United Kingdom of Great Britain and Northern Ireland,2006,Female,45.7
United Kingdom of Great Britain and Northern Ireland,2005,All,47.3
United Kingdom of Great Britain and Northern Ireland,2005,Male,49
United Kingdom of Great Britain and Northern Ireland,2005,Female,45.7
United States of America,2010,All,20
United States of America,2010,Male,21
United States of America,2010,Female,19
United States of America,2006,All,23
United States of America,2006,Male,23
United States of America,2006,Female,23
United States of America,2005,All,23
United States of America,2005,Male,23
United States of America,2005,Female,23
