Country,Gender,2018,2015,2010,2005,2000
Ecuador,Both,4.2,5.0,6.2,5.8,6.0
Ecuador,Male,6.4,7.6,9.4,8.9,9.1
Ecuador,Female,2.0,2.4,2.9,2.8,2.8
Egypt,Both,0.4,0.4,0.4,0.3,0.2
Egypt,Male,0.6,0.7,0.6,0.5,0.4
Egypt,Female,0.1,0.1,0.1,0.1,0.1
El Salvador,Both,3.9,3.6,3.3,3.8,3.9
El Salvador,Male,6.6,6.0,5.6,6.4,6.4
El Salvador,Female,1.7,1.5,1.4,1.6,1.6
Equatorial Guinea,Both,7.2,9.1,9.2,8.9,7.5
Equatorial Guinea,Male,10.1,12.7,12.9,12.8,11.1
Equatorial Guinea,Female,3.3,4.2,4.3,4.2,3.3
Eritrea,Both,1.4,1.4,1.4,2.1,1.6
Eritrea,Male,2.4,2.4,2.3,3.4,2.6
Eritrea,Female,0.5,0.5,0.5,0.7,0.6
Estonia,Both,9.2,12.4,12.4,15.7,9.6
Estonia,Male,15.0,20.1,20.1,25.3,15.8
Estonia,Female,4.4,5.9,5.9,7.6,4.4
Eswatini,Both,10.0,9.8,6.8,6.7,7.5
Eswatini,Male,17.0,16.7,11.6,11.4,12.8
Eswatini,Female,3.8,3.7,2.5,2.5,2.8
Ethiopia,Both,2.4,2.2,2.5,2.0,1.8
Ethiopia,Male,3.9,3.6,4.2,3.4,2.9
Ethiopia,Female,0.8,0.8,0.9,0.7,0.6
Fiji,Both,3.3,3.3,3.0,2.8,3.2
Fiji,Male,5.5,5.5,4.9,4.6,5.3
Fiji,Female,1.1,1.1,1.0,1.0,1.1
Finland,Both,10.8,11.2,12.6,13.1,11.7
Finland,Male,16.8,17.4,19.5,20.4,18.3
Finland,Female,5.1,5.2,6.0,6.3,5.5
France,Both,12.3,12.6,12.4,13.1,14.1
France,Male,19.2,19.7,19.3,20.3,21.8
France,Female,5.8,6.0,5.9,6.3,6.8
Gabon,Both,8.7,9.6,9.9,9.4,10.6
Gabon,Male,13.2,14.4,15.0,14.4,16.4
Gabon,Female,4.0,4.4,4.5,4.3,5.0
Gambia,Both,3.6,3.7,3.8,4.3,4.1
Gambia,Male,6.1,6.3,6.5,7.3,7.0
Gambia,Female,1.2,1.2,1.3,1.4,1.4
Georgia,Both,8.2,9.6,9.7,6.4,4.4
Georgia,Male,13.6,15.8,15.9,10.6,7.3
Georgia,Female,3.6,4.2,4.3,2.8,1.9
Germany,Both,12.9,13.1,12.6,13.3,14.2
Germany,Male,19.9,20.1,19.6,20.6,22.0
Germany,Female,6.2,6.3,6.0,6.4,6.8
Ghana,Both,2.8,3.1,4.3,3.8,5.3
Ghana,Male,4.4,5.0,6.9,6.0,8.4
Ghana,Female,1.2,1.3,1.8,1.6,2.2
Greece,Both,10.2,10.5,9.7,10.7,10.2
Greece,Male,16.2,16.6,15.2,16.7,15.9
Greece,Female,4.5,4.6,4.4,4.9,4.6
Grenada,Both,9.5,9.1,8.3,8.8,9.8
Grenada,Male,15.1,14.4,13.2,14.0,15.7
Grenada,Female,3.9,3.8,3.5,3.7,4.1
Guatemala,Both,2.4,2.6,3.5,4.3,4.4
Guatemala,Male,4.0,4.1,5.7,7.0,7.2
Guatemala,Female,1.0,1.1,1.5,1.8,1.9
