Country,Beverage Types,2017,2016,2015,2014,2013,2012,2011,2010
Costa Rica,Beer,2.43,2.38,2.31,2.27,2.23,2.22,2.12,2.11
Costa Rica,Wine,0.37,0.37,0.37,0.35,0.32,0.31,0.31,0.29
Costa Rica,Spirits,1.02,1,1.02,0.99,1.02,0.96,1.12,1.31
Costa Rica,Other alcoholic beverages,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03
Côte d'Ivoire,All types,1.58,1.53,1.58,1.39,1.22,1.25,1.17,1.13
Côte d'Ivoire,Beer,1,0.95,1.04,0.91,0.79,0.78,0.71,0.69
Côte d'Ivoire,Wine,0.41,0.43,0.38,0.31,0.27,0.32,0.32,0.32
Côte d'Ivoire,Spirits,0.1,0.1,0.11,0.11,0.12,0.12,0.11,0.1
Côte d'Ivoire,Other alcoholic beverages,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03
Croatia,All types,10.06,10.39,9.99,9.87,10.76,10.96,11.4,11.1
Croatia,Beer,4.67,4.63,4.56,4.26,4.62,4.56,4.73,4.48
Croatia,Wine,3.7,4.08,3.76,3.95,4.52,4.79,5.08,5.03
Croatia,Spirits,1.35,1.35,1.34,1.33,1.28,1.24,1.21,1.19
Croatia,Other alcoholic beverages,0.34,0.33,0.33,0.33,0.34,0.36,0.39,0.39
Cuba,All types,4.46,4.35,4.42,4.3,4.13,4.09,4.11,4.07
Cuba,Beer,1.71,1.7,1.77,1.72,1.68,1.64,1.62,1.6
Cuba,Wine,0.07,0.07,0.07,0.06,0.07,0.05,0.05,0.05
Cuba,Spirits,2.66,2.57,2.56,2.5,2.37,2.39,2.42,2.4
Cuba,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cyprus,All types,9.59,9.59,9.59,9.63,9.07,10.58,10.71,11.33
Cyprus,Beer,2.85,2.85,2.85,3.22,3.32,3.49,3.54,3.79
Cyprus,Wine,2.72,2.72,2.72,2.79,2.49,2.61,2.56,2.67
Cyprus,Spirits,4.02,4.02,4.02,3.62,3.26,4.48,4.61,4.87
Cyprus,Other alcoholic beverages,0,0,0,0,0,0,0,0
Czechia,All types,12.93,12.93,12.76,12.74,12.53,12.82,12.56,12.68
Czechia,Beer,6.89,6.89,6.87,6.87,6.86,6.93,6.64,6.72
Czechia,Wine,2.76,2.76,2.66,2.74,2.63,2.77,2.71,2.71
Czechia,Spirits,3.28,3.28,3.23,3.13,3.03,3.12,3.21,3.26
Czechia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Denmark,All types,9.3,9.51,9.42,9.56,9.44,9.23,10.45,10.27
Denmark,Beer,3.43,3.56,3.45,3.57,3.48,3.55,3.81,3.86
Denmark,Wine,4.15,4.25,4.26,4.31,4.31,4.09,5.04,4.92
Denmark,Spirits,1.64,1.62,1.65,1.59,1.57,1.51,1.51,1.44
Denmark,Other alcoholic beverages,0.08,0.08,0.07,0.08,0.07,0.08,0.1,0.05
Dominica,All types,9.63,9.88,9.97,9.99,10.2,10.1,10.11,10.22
Dominica,Beer,2.11,2.37,2.34,2.34,2.32,2.29,2.23,2.17
Dominica,Wine,0.29,0.29,0.29,0.24,0.41,0.27,0.28,0.39
Dominica,Spirits,7.23,7.23,7.34,7.41,7.47,7.54,7.6,7.66
Dominica,Other alcoholic beverages,0,0,0,0,0,0,0,0
Dominican Republic,All types,5.6,5.55,5.59,5.47,5.53,5.52,5.48,5.54
Dominican Republic,Beer,2.97,2.87,2.83,2.78,2.77,2.74,2.69,2.66
Dominican Republic,Wine,0.33,0.34,0.36,0.31,0.26,0.24,0.22,0.2
Dominican Republic,Spirits,2.24,2.28,2.34,2.33,2.43,2.48,2.5,2.61
Dominican Republic,Other alcoholic beverages,0.05,0.05,0.07,0.06,0.06,0.06,0.07,0.07
Ecuador,All types,3.08,3.34,3.88,3.98,3.98,4.12,4.21,4.28
Ecuador,Beer,2.3,2.53,3,3,2.96,2.88,2.78,2.68
Ecuador,Wine,0.23,0.23,0.23,0.25,0.25,0.26,0.26,0.37
Ecuador,Spirits,0.53,0.55,0.62,0.72,0.75,0.96,1.15,1.21
Ecuador,Other alcoholic beverages,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02
Egypt,All types,0.13,0.15,0.18,0.19,0.19,0.19,0.19,0.2
Egypt,Beer,0.08,0.09,0.11,0.11,0.11,0.11,0.11,0.11
Egypt,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Egypt,Spirits,0.04,0.04,0.06,0.07,0.06,0.07,0.06,0.07
Egypt,Other alcoholic beverages,0,0,0,0,0,0,0,0
El Salvador,All types,2.81,2.64,2.54,2.45,2.34,2.41,2.31,2.29
El Salvador,Beer,1.39,1.27,1.16,1.07,1.04,1,0.93,0.92
El Salvador,Wine,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
El Salvador,Spirits,1.37,1.32,1.33,1.32,1.25,1.36,1.33,1.33
El Salvador,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Estonia,All types,13.27,15.95,16.7,17.35,17.77,16.91,16.18,14.83
Estonia,Beer,4.77,5.5,5.71,5.88,5.9,5.84,5.65,5.55
Estonia,Wine,2.15,2.32,2.21,2.14,2.14,1.98,1.82,1.62
Estonia,Spirits,4.89,6.29,6.82,7.11,7.47,7.11,6.9,5.94
Estonia,Other alcoholic beverages,1.46,1.83,1.96,2.22,2.26,1.97,1.81,1.72
Ethiopia,All types,0.95,0.86,0.62,0.53,0.46,0.44,0.35,0.31
Ethiopia,Beer,0.92,0.82,0.58,0.5,0.43,0.41,0.32,0.28
Ethiopia,Wine,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Ethiopia,Spirits,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Ethiopia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Finland,All types,8.37,8.44,8.52,8.76,9.08,9.27,9.81,9.72
Finland,Beer,4.04,4.11,4.13,4.17,4.28,4.27,4.61,4.47
Finland,Wine,1.75,1.74,1.75,1.8,1.84,1.89,1.89,1.86
Finland,Spirits,1.14,1.15,1.18,1.24,1.3,1.38,1.44,1.5
Finland,Other alcoholic beverages,1.44,1.43,1.45,1.54,1.65,1.74,1.87,1.89
France,All types,11.69,11.74,11.87,12.07,11.73,12.22,12.35,12.3
France,Beer,2.3,2.21,2.16,2.26,1.8,2.15,2.1,2.18
France,Wine,6.79,6.9,7.09,7.04,7.13,7.33,7.41,7.27
France,Spirits,2.41,2.43,2.42,2.47,2.5,2.54,2.64,2.65
France,Other alcoholic beverages,0.19,0.2,0.2,0.3,0.3,0.2,0.2,0.2
Georgia,All types,5.83,7.51,7.52,6.86,6.7,7.12,8.12,7.53
Georgia,Beer,1.64,1.41,1.41,1.39,1.38,1.28,1.95,1.42
Georgia,Wine,1.53,3.29,3.1,2.37,2.25,2.75,3.19,3.16
Georgia,Spirits,2.65,2.79,3,3.09,3.05,3.09,2.98,2.94
Georgia,Other alcoholic beverages,0.02,0.02,0.02,0.01,0.01,0.01,0,0
Germany,All types,10.81,10.93,11.05,11.06,11.07,11.31,11.32,11.21
Germany,Beer,5.64,5.75,5.87,5.87,5.88,6,6.01,6.21
Germany,Wine,3.11,3.11,3.11,3.11,3.11,3.23,3.24,3.22
Germany,Spirits,2.07,2.07,2.07,2.07,2.07,2.08,2.08,2.15
Germany,Other alcoholic beverages,0,0,0,0,0,0,0,0
Ghana,All types,1.67,1.62,1.84,1.88,1.89,1.91,1.84,1.73
Ghana,Beer,0.49,0.48,0.47,0.46,0.43,0.44,0.48,0.48
Ghana,Wine,0,0,0.1,0.08,0.15,0.24,0.21,0.18
Ghana,Spirits,0.43,0.47,0.55,0.58,0.44,0.41,0.38,0.36
Ghana,Other alcoholic beverages,0.75,0.66,0.72,0.76,0.87,0.82,0.77,0.72
Greece,All types,6.4,6.37,6.57,6.96,7.44,7.5,7.34,8.2
Greece,Beer,1.99,2.05,2,2.04,2.07,2.07,2.06,2.2
Greece,Wine,2.88,2.84,3.08,3.37,3.81,3.88,3.59,4.08
Greece,Spirits,1.44,1.4,1.41,1.46,1.47,1.46,1.59,1.8
Greece,Other alcoholic beverages,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.12
Grenada,All types,9.12,8.87,8.69,8.54,8.53,8.51,8.37,8.36
Grenada,Beer,3.78,3.63,3.57,3.56,3.58,3.57,3.55,3.55
Grenada,Wine,0.67,0.67,0.67,0.68,0.67,0.64,0.64,0.61
Grenada,Spirits,4.33,4.3,4.16,4.01,4.05,4.09,3.99,3.99
Grenada,Other alcoholic beverages,0.33,0.27,0.29,0.29,0.23,0.2,0.2,0.2
Guatemala,All types,1.6,1.59,1.64,1.68,1.82,1.9,2.04,2.02
Guatemala,Beer,0.9,0.91,0.9,0.94,0.93,0.93,0.86,0.83
Guatemala,Wine,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Guatemala,Spirits,0.66,0.65,0.69,0.7,0.85,0.94,1.14,1.16
Guatemala,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Honduras,All types,2.68,2.54,2.51,2.43,2.69,2.7,2.72,2.69
Honduras,Beer,1.49,1.34,1.22,1.14,1.14,1.13,1.12,1.08
Honduras,Wine,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03
Honduras,Spirits,1.16,1.17,1.25,1.26,1.52,1.54,1.56,1.59
Honduras,Other alcoholic beverages,0,0,0,0,0,0,0,0
Hungary,All types,10.79,11.28,10.95,10.92,10.73,11.13,11.37,10.7
Hungary,Beer,3.96,3.93,3.92,3.9,3.78,4.08,4.05,3.9
Hungary,Wine,3.33,3.61,3.4,2.93,3.2,3.19,3.51,3.16
Hungary,Spirits,3.5,3.74,3.62,4.09,3.74,3.86,3.81,3.64
Hungary,Other alcoholic beverages,0,0,0,0,0,0,0,0
Iceland,All types,7.75,7.5,7.66,7.01,6.8,6.82,6.84,6.79
Iceland,Beer,4.42,4.24,4.26,3.86,3.74,3.77,3.68,3.71
Iceland,Wine,2.14,2.09,2.15,2.02,1.96,1.95,1.9,1.87
Iceland,Spirits,1.19,1.16,1.25,1.13,1.1,1.1,1.26,1.21
Iceland,Other alcoholic beverages,0,0,0,0,0,0,0,0
India,All types,2.86,2.97,3.01,3.01,3.05,3.06,2.96,2.74
India,Beer,0.22,0.23,0.21,0.2,0.2,0.19,0.18,0.17
India,Wine,0,0,0,0,0,0,0,0
India,Spirits,2.64,2.74,2.8,2.81,2.85,2.87,2.78,2.57
India,Other alcoholic beverages,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),All types,0.03,0.02,0.01,0.01,0.01,0.02,0.03,0.03
Iran (Islamic Republic of),Beer,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),Wine,0,0,0,0,0,0,0,0
Iran (Islamic Republic of),Spirits,0.03,0.02,0.01,0.01,0.01,0.02,0.03,0.03
Iran (Islamic Republic of),Other alcoholic beverages,0,0,0,0,0,0,0,0
Iraq,All types,0.17,0.16,0.14,0.15,0.17,0.2,0.18,0.19
Iraq,Beer,0.12,0.11,0.09,0.1,0.12,0.14,0.12,0.14
Iraq,Wine,0,0,0,0.01,0.01,0.01,0.01,0
Iraq,Spirits,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.04
Iraq,Other alcoholic beverages,0,0,0,0,0,0,0,0
Ireland,All types,11.12,11.22,10.68,10.73,10.35,11.2,11.3,11.38
Ireland,Beer,5.04,5.19,5.04,5.12,4.92,5.23,5.31,5.48
Ireland,Wine,2.99,3.01,2.85,2.79,2.61,2.86,2.91,2.86
Ireland,Spirits,2.22,2.16,2,1.96,1.98,2.24,2.19,2.13
Ireland,Other alcoholic beverages,0.86,0.85,0.79,0.85,0.84,0.87,0.9,0.9
Israel,All types,2.98,2.69,2.71,2.69,2.87,2.85,2.78,2.74
Israel,Beer,1.74,1.5,1.56,1.52,1.51,1.43,1.38,1.32
Israel,Wine,0.07,0.07,0.07,0.07,0.1,0.12,0.13,0.13
Israel,Spirits,1.13,1.09,1.04,1.05,1.21,1.25,1.21,1.24
Israel,Other alcoholic beverages,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06
Italy,All types,7.37,7.1,7.14,7.33,7.34,7.48,6.97,6.95
Italy,Beer,1.88,1.82,1.79,1.69,1.7,1.7,1.69,1.66
Italy,Wine,4.71,4.58,4.62,4.85,4.85,4.99,4.45,4.45
Italy,Spirits,0.79,0.69,0.74,0.79,0.79,0.79,0.84,0.84
Italy,Other alcoholic beverages,0,0,0,0,0,0,0,0
Jamaica,All types,3.47,3.38,3.48,3.42,3.44,3.37,3.35,3.37
Jamaica,Beer,1.24,1.21,1.12,1.06,1.03,1,1,0.98
Jamaica,Wine,0.35,0.34,0.38,0.39,0.42,0.45,0.47,0.57
Jamaica,Spirits,1.57,1.57,1.78,1.81,1.84,1.78,1.75,1.7
Jamaica,Other alcoholic beverages,0.3,0.26,0.2,0.17,0.15,0.14,0.13,0.13
Japan,All types,6.8,6.82,6.85,6.71,6.96,6.83,6.86,6.88
Japan,Beer,1.34,1.35,1.35,1.33,1.38,1.35,1.35,1.36
Japan,Wine,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Japan,Spirits,2.58,2.58,2.6,2.54,2.64,2.59,2.6,2.61
Japan,Other alcoholic beverages,2.63,2.64,2.65,2.6,2.69,2.64,2.65,2.66
Kazakhstan,All types,3.66,3.55,3.3,3.61,3.76,3.69,3.38,3.9
Kazakhstan,Beer,2.15,1.94,1.83,1.9,1.8,1.89,1.69,1.99
Kazakhstan,Wine,0.16,0.1,0.09,0.07,0.06,0.05,0.05,0.07
Kazakhstan,Spirits,1.35,1.51,1.38,1.55,1.9,1.75,1.64,1.84
Kazakhstan,Other alcoholic beverages,0,0,0,0.09,0,0,0,0
Kenya,All types,1.65,1.63,1.53,1.38,1.57,1.53,1.51,1.55
Kenya,Beer,0.8,0.77,0.72,0.62,0.9,0.94,0.91,0.96
Kenya,Wine,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03
Kenya,Spirits,0.8,0.81,0.77,0.72,0.62,0.55,0.56,0.56
Kenya,Other alcoholic beverages,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Kiribati,All types,0.36,0.38,0.37,0.5,0.75,0.37,0.52,0.46
Kiribati,Beer,0.36,0.36,0.36,0.36,0.71,0.37,0.44,0.46
Kiribati,Wine,0.01,0.02,0.01,0.15,0.03,0.01,0,0
Kiribati,Spirits,0,0,0,0,0,0,0.08,0
Kiribati,Other alcoholic beverages,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,All types,7.26,7.11,6.84,6.64,6.42,6.3,6.26,6.05
Lao People's Democratic Republic,Beer,3.85,3.7,3.43,3.23,3.01,2.82,2.61,2.43
Lao People's Democratic Republic,Wine,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
Lao People's Democratic Republic,Spirits,3.39,3.39,3.39,3.39,3.39,3.46,3.63,3.61
Lao People's Democratic Republic,Other alcoholic beverages,0,0,0,0,0,0,0,0
Latvia,All types,12.6,11.3,10.8,10.6,10.43,10.2,10.11,9.83
Latvia,Beer,5.3,4.8,4.8,4.8,4.7,4.67,4.86,4.61
Latvia,Wine,1.4,1.3,1.2,1.2,1.1,1.16,1.13,1.05
Latvia,Spirits,5.1,4.5,4.1,4,3.99,3.77,3.57,3.64
Latvia,Other alcoholic beverages,0.8,0.7,0.7,0.6,0.64,0.6,0.55,0.53
Lebanon,All types,1.32,1.27,1.24,1.27,1.27,1.33,1.41,1.5
Lebanon,Beer,0.44,0.41,0.38,0.37,0.3,0.32,0.35,0.41
Lebanon,Wine,0.24,0.25,0.25,0.24,0.25,0.24,0.22,0.22
Lebanon,Spirits,0.62,0.59,0.59,0.64,0.69,0.75,0.82,0.85
Lebanon,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Lesotho,All types,2.82,2.89,2.81,2.6,2.58,2.46,2.4,2.8
Lesotho,Beer,1.62,1.69,1.61,1.4,1.38,1.4,1.47,1.46
Lesotho,Wine,0.09,0.09,0.09,0.09,0.09,0,0.01,0.01
Lesotho,Spirits,0.3,0.3,0.3,0.3,0.3,0.6,0.58,0.59
Lesotho,Other alcoholic beverages,0.81,0.81,0.81,0.81,0.81,0.45,0.35,0.74
Lithuania,All types,11.96,13.39,14.2,14.93,14.75,14.87,14.72,13.22
Lithuania,Beer,4.72,5.1,5.36,5.46,5.26,5.6,5.77,5.46
Lithuania,Wine,0.81,1.04,1.14,1.51,1.49,1.44,1.35,1.1
Lithuania,Spirits,4.97,5.51,5.78,5.82,5.74,5.63,5.51,4.65
Lithuania,Other alcoholic beverages,1.46,1.73,1.92,2.13,2.26,2.21,2.09,2.01
Luxembourg,All types,11.16,11.24,11.36,11.41,11.25,11.66,11.74,11.84
Luxembourg,Beer,3.97,3.98,4.02,4.07,3.84,4.08,4.05,4.19
Luxembourg,Wine,4.95,5,5.1,5.07,5.12,5.28,5.32,5.25
Luxembourg,Spirits,2.24,2.25,2.25,2.27,2.29,2.31,2.36,2.4
Luxembourg,Other alcoholic beverages,0,0,0,0,0,0,0,0
Madagascar,All types,0.91,0.89,0.88,0.78,0.85,0.86,0.9,0.96
Madagascar,Beer,0.5,0.48,0.46,0.44,0.42,0.45,0.5,0.53
Madagascar,Wine,0.07,0.07,0.08,0.08,0.08,0.1,0.1,0.1
Madagascar,Spirits,0.34,0.34,0.34,0.26,0.34,0.31,0.3,0.33
Madagascar,Other alcoholic beverages,0,0,0,0,0,0,0,0
Malawi,All types,2,2,1.99,1.94,1.94,1.79,1.81,1.63
Malawi,Beer,0.17,0.18,0.17,0.16,0.16,0.16,0.15,0.15
Malawi,Wine,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02
Malawi,Spirits,0.19,0.19,0.19,0.1,0.22,0.27,0.16,0.17
